framenr,kanji,keyword,public,last_edited,story
296,導,"guidance",1,2016-06-09 09:48:28,"Dorothy should really have stuck the guidance she got to ""stick to the yellow-brick road-way"""
298,迅,"swift",1,2016-06-07 23:16:10,"To #hook# into the Arabic saying, ""the swift and the slow meet at the #crossing#"""
301,逃,"escape",1,2016-06-08 10:05:11,"Just think how absurd it is that the ancients saw a *turtle* plodding down the *road-way* and thought ""I know---that's a good way to draw the kanji for 'escape'"""
305,連,"take along",1,2016-06-08 10:09:27,"You should take along the simplest idea from the kanji with you, and don't go complicating it by thinking of transport or other more complicated ideas."
306,軌,"rut",1,2016-06-08 10:13:13,"Albert Einstein said that the definition of crazy is doing the same thing over and over and expecting different results. That's a serious rut in one's thinking. It's like if your *car* gets stuck in a rut and after gunning the engine *nine* times already and still going nowhere, you expect to get out the next time."
307,輸,"transport",1,2016-06-08 10:18:27,"Did you know that P&O Ferries was initially set up by French onion growers so they could transport their wares for sale in England? Japan had something similar, except they used a fleet of *cars* and it was an *association of butchers* wanting to bring their wares to market."
308,喩,"metaphor",1,2016-06-08 10:25:04,"Some topics in Japan are not really spoken about in direct terms, and so people speak in metaphors instead. The first people to mouth these was probably an association of butchers who wanted to sell their wares without offending people by talking directly about flesh and cutting and so on directly. So that's where the kanji for ""metaphor"" comes from."
309,前,"in front",1,2016-06-08 10:27:24,"Ever wonder why deer and such have their horns in front instead of on their asses? Well they wouldn't be very good at cutting the flesh of other deer if they were back there, would they?"
310,煎,"roast",1,2016-06-08 10:29:47,"Did you ever see one of those presidential ""roast"" things? It's supposed to honour the person, but he stands up in front of everyone and they really put his feet to the fire. What's with that?"
311,各,"each",1,2016-06-08 10:32:20,"It's hard to remember something as general as ""each"", so I mime letting my fingers do the walking over my mouth. To each his own, I guess."
312,格,"status",1,2016-06-08 10:38:19,"In theory, communism is supposed to do away with ideas of status. It's supposed to be ""to each according to his needs, from each according to his ability"". In practice, the best they have achieved is to give a tree to each person."
313,賂,"graft",1,2016-06-08 10:40:42,"The amount of graft in Cambodia is terrible. Every government employee is on the take, from teachers to doctors to police. To get by, you have to shell out to each one of them in turn."
314,略,"abbreviation",1,2016-06-09 13:37:22,"Computer guys (and guys in other fields) use abbreviations like RTFM, but here I'm trying to remember the abbreviation RFE. Remember the Fine Example of Rice Field E_. What the hell does E stand for? Just notice that each of the abbreviations has the same initials and work it out!"
315,客,"guest",1,2016-06-08 11:17:24,"Japanese use the same kanji to mean both ""guest"" and ""customer"". Each of them is under your roof, in any case, so you will treat them properly as a guest."
316,額,"forehead",1,2016-06-09 10:05:05,"A guest with a big head came to visit other day. He was from Easter Island, I guess, because his forehead was huge!"
317,夏,"summer",1,2016-06-08 11:24:52,"In the summer, when the tarmac gets too hot to walk on, I screw the animal legs off my head and put on my walking legs instead. Now I can walk better on the hot tarmac without burning my feet!"
318,処,"dispose",1,2016-06-08 11:30:37,"Think about the improper ways of disposing of litter. Nobody shits on their own doorstep, but it's surprising the number of people who will use their walking legs to move just a little bit away and let the wind dispose of it for them.
Think of the long stroke under wind as them making the minimum effort to get away from their doorstep."
319,条,"twig",1,2016-06-08 11:36:09,"Think of a bonsai tree. It's so tiny that you can even use your fingers as walking legs and walk right over the tree. If the tree is that tiny, imagine how small the twigs must be!"
320,落,"fall",1,2016-06-09 16:53:22,"Think of the falling of cherry blossom petals. The flowers at the top fall like drops of water. The funny thing is that #each# of the blossoms seem to fall at around the same time so the Japanese make a special festival out of it: hana-mi"
321,冗,"superfluous",1,2016-06-08 11:50:45,"Think of the primitive for wind and give it a secondary meaning of ""desk"" (机). Now imagine crowning it with another wooden covering. How superfluous!"
322,冥,"Hades",1,2016-06-08 11:54:23,"In classic mythology, there are 7 circles of hell (Hades). Here we see the outermost one, represented by a tyrannical sun wearing a crown, with the suggestion that there are 6 more circles below."
323,軍,"army",1,2016-06-08 11:59:50,"Imagine the armies of old, where the lords and generals (the crowned ones) are carried around in regal palanquins (cars) while the grunts (not pictured) do all the lifting and fighting. I guess that this kanji shows how much the nobles care about their army!"
324,輝,"radiance",1,2016-06-08 12:07:03,"Thinking back to ""army"", all the rays coming out of the regal palanquins (crowned cars) are probably the reason that we don't see any of the grunts: the amount of radiance simply blots out everything else from view."
325,運,"carry",1,2016-06-08 12:15:03,"One of the main reasons that the influence of the Roman empire carried so far is that they engaged in a massive amount of road-way building to carry their armies."
326,冠,"crown",1,2016-06-08 12:20:41,"The crowning achievement of royalty is duping the people into thinking that, even from the beginning, a kind of divine right is attached to the crown."
327,夢,"dream",1,2016-06-08 12:22:56,"An elaborate dream-catcher made of flowers woven into nets crowns my evening and lets me dream good dreams."
328,坑,"pit",1,2016-06-08 12:39:10,"Decomposing ""whirlwind"" into top-hat and wind...

My Japanese gardener is very industrious but he doesn't speak English well. When I asked him the other day to dig a pit, I went out later and found a huge mound of soil and a top hat beside it. When I lifted up the top hat, I heard a huge howling wind from under it. It seems that my gardener had misunderstood the scale of the pit that I wanted (more like a cavern!), but at least I am thankful that he put the top hat on top so that nobody would fall in."
330,享,"receive",1,2016-06-08 12:49:26,"The received wisdom is that if a child receives good nutrition, he will grow up to be tall."
331,塾,"cram school",1,2016-06-08 12:59:49,"I imagine cram school to be some kind of high-tech indoctrination method. There's some sort of transmitter that pumps out something that's received by anyone around it. I've never been in there (too scared) but I've peeked over the enclosing mound of soil and seen it happen with my own eyes."
332,熟,"mellow",1,2016-06-08 13:08:06,"The tall kids and the round ones never could get on together, but after sitting with each other at the campfire, their attitudes began to mellow and mature. The fire mellowed them out and let them receive a more rounded world-view."
333,亭,"pavilion",1,2016-06-08 13:17:46,"Pavilions are grand things, but there can be a lot of pettiness on the part of their designers. In the competition to see who can build the tallest, one guy I know just crowned his with a nail. It looked stupid, but it did make it taller than any other pavilion!"
334,京,"capital",1,2016-06-08 13:22:07,"The capital is where you see the biggest inequalities in society. The tall (the rich) tower over the small (the poor). I guess that's capitalism for you."
335,涼,"refreshing",1,2016-06-08 13:27:05,"Despite all the inequalities inherent in the capital, at least a cool refreshing shower can be enjoyed by all."
336,景,"scenery",1,2016-06-09 09:32:18,"There's probably no more breathtaking scenery than looking out at the sun rise from the top of Tokyo Tower, with the all capital beneath you."
337,鯨,"whale",1,2016-06-08 13:32:46,"In warfare, we talk about ""capital ships"". In nature, the ""capital fish"" must be a whale. Of course, it's a bit backwards to call a whale a fish (ie fish-capital, not capital fish)."
338,舎,"cottage",1,2016-06-08 13:39:52,"Whereas a lord can have all his wants satisfied completely (全), subsistence farmers have much more meagre cottages: just an umbrella and a small plot of land (a cottage garden) to feed their mouths.
With ""lidded crock"": under a humble cottage with only an umbrella for a roof, the inhabitants fill their lidded crocks with kimchi for the winter. (making kimchi in lidded crocks is a true cottage industry)"
339,周,"circumference",1,2016-06-08 13:51:07,"Between the times when manholes were invented and the time when manhole covers were perfected, people tried all sorts of weird ideas, including using lidded crocks as a hood for the hole. Many a crock was lost, however, to people not matching the circumference of the hole to the circumference of the crock! I'm sure they had a victory lap once they finally figured that out!"
340,週,"week",1,2016-06-08 13:54:13,"The days of the week are like a looping roadway, with the days lapping each other (sun->mon->...->sun) with each full circuit around the circumference."
341,士,"gentleman",1,2016-06-08 13:58:11,"The samurai class were the #gentlemen# and scholars of their day: much more refined than the common clod-hoppers."
342,吉,"good luck",1,2016-06-08 14:08:01,"This represents the deluxe ""samurai"" version of a plain lidded crock. Most of the ""good luck"" that people ascribed to it at the time would most likely be explained away today by our knowledge of microbes and bacteria and such. The tighter-fitting lid meant less contamination, so the samurai had the ""good luck"" to avoid many food-borne maladies."
343,壮,"robust",1,2016-06-08 14:13:51,"So far, nobody has been able to give me a robust explanation of how four turtles came to be samurai. And don't try to give me the story of their gentlerat trainer, either. (teenage mutant ninja turtles)"
344,荘,"villa",1,2016-06-08 14:19:20,"I think of the grand French villas (though more like palaces to you and me) like in Versailles, with the elaborate flower gardens guarded by imported turtle samurai. This flowering of rococo excesses must have seemed so robust before the revolution."
345,売,"sell",1,2016-06-08 14:24:33,"A samurai turned ronin (sold out by his daimyo) is reduced to selling wind-up false teeth in the market-place (basically a dental crown with legs!)"
349,書,"write",1,2016-06-09 12:31:03,"For a gruesome image, imagine carving the word ""brush"" on your tongue and using it as a writing instrument."
350,津,"haven",1,2016-06-09 12:28:41,"Think of The Great Wave off Kanagawa, the ukiyo-e by Hokusai. See the way he paints all that water and spray with his brush? Then notice that there are some boats out there! They need to find a haven from these waves."
351,牧,"breed",1,2016-06-09 10:09:27,"Taskmaster forcing cow to breed. It sounds cruel, but if nobody forced cows to get pregnant, we wouldn't have milk all year round."
352,攻,"aggression",1,2016-06-09 10:11:30,"It's a crafty taskmaster that uses just the right amount of aggression: not too much that the slaves can't work, and not so little that they start getting ideas about mutiny!"
353,敗,"failure",1,2016-06-09 12:27:11,"Back in the 80's, Maggie Thatcher said (to paraphrase) ""only failures take the bus"". I disagree, Maggie: the real failure is let money become your taskmaster"
355,故,"happenstance",1,2016-06-09 12:25:06,"Heisig's talk of ""fate"" here is completely wrong! Kismet (fate) and happenstance (coincidence) are two completely different things.
Coincidentally (ie, by happenstance), I did try telling him this once, but he went on like an old taskmaster, completely deaf to my cries."
356,敬,"awe",1,2016-06-09 10:27:38,"Think of different kinds of awe. Do you use #flowery phrases# because you are in awe of the higher-ups, or are you really in awe of the #taskmaster#, who will whip you awe-fully if you don't learn them correctly?"
358,警,"admonish",1,2016-06-09 12:19:50,"After carelessly using low speech, I was admonished to use more awe-filled language (honorifics) in future.
Versus rebuke, this seems less harsh---just words instead of the threat of knives.
Versus ""chastise"", this is a more ""grown-up"" meaning. Children here are admonished to leave more childish speech behind and move up to polite speech.
To admonish also includes a sense that there is something that needs to be improved in the future, as opposed to the other two which focus only on past events."
359,計,"plot",1,2016-06-09 12:13:26,"Think of the black and white film Metropolis. You may have seen some scenes from it in the video for Queen's Radio Gaga. There's an image of a man who has to move these giant needles on a clock face so that they match up to the position of lights that flash on around the edge.
The undercity workers get together and talk about their plight as slaves to the machine and eventually talk gets around to a plot to overthrow the higher classes and free themselves from slavery to the machine and its giant needles."
360,詮,"elucidate",1,2016-06-09 12:08:22,"If you're elucidating (rather than just teaching, instructing, etc.) then your words express the whole of the idea clearly to the listener. 

""Lucid"", from which elucidate derives, conjures up an idea of clarity, in which you can see the whole thing, as opposed to, say, ""teaching"", where the teacher breaks it down into smaller parts that you can understand, or ""instruction"" where you're passing on a method rather than something that you can see in your mind's eye)"
362,訂,"revise",0,2016-06-09 11:59:13,"Revise, revise and revise until you have all the words nailed down."
363,訃,"obituary",1,2016-06-09 11:42:20,"Usually obits are favourable to the deceased, but occasionally they're negative, in which case it's like a magic wand that waves over all the words you've heard about that person before and breaks the spell they had over you."
364,討,"chastise",1,2016-06-09 11:39:24,"I was chastised for not sticking to my word.
Note similar words ""rebuke"" and ""admonish""
To distinguish ""chastise"", consider that you chastise children, so this mnemonic could be put in the context of a child promising to tidy up before dinner and then being chastised for not sticking to his word."
365,訓,"instruction",1,2016-06-09 11:29:19,"The disciple receives instruction. If he is ready, the words of the master flow into him like a stream of wisdom."
366,詔,"imperial edict",1,2016-06-09 11:28:27,"The sayings of the emperor have a powerful seduction over the populace (compare papal edict)"
367,詰,"packed",1,2016-06-09 11:26:53,"Remembering the Samurai's deluxe crock pot with a tight-fitting lid (so-called ""good luck"", a primitive explanation). Then think of words written on the outside of it to tell what the contents are. As science progresses and we find out more about germs and microbes and vitamins and so on, the writing gets more and more packed as we make up new words and write them on the outside of the crock."
368,話,"tale",1,2016-06-09 11:22:51,"Oral history (tales and legends) are never written, but always said with the tongue, ."
369,詠,"recitation",1,2016-06-09 11:20:59,"Think Greek scholars of old, who could recite vast texts purely from memory. To someone like us (who can hardly even recite many phone numbers without looking them up) it seems that what they are saying goes on for an eternity."
370,詩,"poem",1,2016-06-09 11:18:56,"Think of a short, pithy poem like ""parsley is gharsley"" or ""furuikeya...""
Although you might be breaking the rules of silence by saying this in the Buddhist temple, it would be so worth it."
371,語,"word",1,2016-06-09 11:15:03,"Jamaicans uses to say things like ""I and I"". Nowadays, people say things like ""Word!"""
372,読,"read",1,2016-06-09 11:14:05,"If what you write and say is done to sell yourself, then reading must be buying someone else's words?"
373,調,"tune",1,2016-06-09 11:12:19,"Most tunes have verse/chorus structure. The verses are only #said# once, but the chorus is trotted out for several ""#laps#"" (secondary meaning of ""circumference)."
374,談,"discuss",1,2016-06-09 11:09:40,"""Discuss"" can have a whole range of meanings from polite discussion to rather more heated ones. Here we remember by looking at the more extreme range of meaning where speech is designed deliberately to inflame (""playing devil's advocate"" is a perfectly cromulent tactic in any discussion, after all)."
375,諾,"consent",1,2016-06-09 11:06:03,"Remember that the young are those who have the right to wear flowers in their hair. In fact, that's their only right. For everything else, their elders have to say whether they consent or not."
376,諭,"rebuke",1,2016-06-09 11:03:53,"Imagine working as an apprentice in a butcher's market (butcher's association). Those people are known for their coarse speech, so between that and all the knives the butchers have at their disposal, you will be quick to heed their rebukes!
Note: a rebuke is stronger than a mere admonishment."
377,式,"style",1,2016-06-09 13:45:52,"PStYle: arrow, minecraft style!"
378,試,"test",1,2016-06-09 13:48:15,"(written on front of a magazine) What does your style say about you? Take our free test and find out!"
379,弐,"II (two)",1,2016-06-09 14:01:23,"In English, people talk about having more than one string to their bow. That makes no literal sense at all. It would be better to say that they have more than one arrow type to their quiver (types I and II).
In a modern context, think of an ammo clip (the modern-day quiver) with different slots for different ammo (arrow) types (type I, type II as above). The dot above which distinguishes the radical for ""arrow"" from that of ""quiver"" could be ""one in the chamber"", ready to fire"
380,域,"range",1,2016-06-09 14:18:02,"earth, fiesta, mouth, drop. Robin Hood (the salt of the #earth#) comes to the #fiesta# and his amazing skills at the archery #range# makes everyone's #mouth# #drop#.
Don't forget the full range of elements at play here!"
381,賊,"burglar",1,2016-06-09 14:27:57,"Getting #clams# is always the first thing on a burglar's mind, When #fiesta# time comes, though, (and everyone else is out partying) it's time to break out the lock picking #needles#!"
382,栽,"plantation",1,2016-06-09 14:33:19,"Since hearing Harry Belafonte's Banana Boat Song, I always thought about how happy life must be for all those banana plantation workers. With all the singing and smiling, it seems like every day tending their trees is like a land-fiesta for them.
(or change to cotton plantations for a similarly incongruous view of slavery)"
383,載,"load",1,2016-06-09 14:38:33,"Think of giant carts loaded up with produce ready for the land-fiesta (harvest festival)"
384,茂,"overgrown",1,2016-06-09 14:45:42,"Think of great fiesta places, such as might have existed in places like Angkor Wat in Cambodia. Now they are all overgrown with a parade of weeds and flowers."
385,戚,"relatives",1,2016-06-09 14:56:02,"parade-above-little: I wasn't very keen on family get-togethers as a kid. The constant parade of relatives towering over me and cooing made me a little annoyed, to be honest."
386,成,"turn into",1,2016-06-09 15:10:40,"parade + dagger: First, a joke: how do you kill a circus? Go straight for the juggler!
Now: the circus parade turned into a funeral procession after some joker with a dagger sliced the juggler.
Note also the ""transmogrification"" (a keyword that's much easier to remember than ""turn into""!) inherent in the original joke, of circus turning into a person and the juggler turning into its ""jugular""."
387,城,"castle",1,2016-06-09 15:33:32,"earth + transmogrify: A pile of earth turning into a castle in our imagination should be seen as the canonical example of the transmogorative power of the mind. Embed this trope in your mind somehow (sandcastles, man in the high castle, capture the fort, mind castle, etc.) and use it as your central ""base of operations"" from which to explore other kanji that include the transmogrification trope.
https://en.wikipedia.org/wiki/Method_of_loci"
388,誠,"sincerity",1,2016-06-09 15:41:19,"speech + transmogrification: speech will turn into reality if you are sincere, but you have to believe what you are saying!"
389,威,"intimidate",1,2016-06-11 18:52:39,"A women's liberation march is an intimidating thing for some people. Probably deep down they're worried about emasculation."
390,滅,"destroy",1,2016-06-09 16:03:41,"Think back to the kanji for ""disaster"", where we have floods on top of fire. Something similar is happening here: after a giant tidal wave destroys much, a #march# of #fires# spreads, adding to the destruction."
391,減,"dwindle",1,2016-06-09 16:07:31,"The #dwindling# #water# supply (just a few drops) becomes insufficient to satisfy the constant #march# of thirsty #mouth#s. There will be trouble ahead."
392,蔑,"revile",1,2016-06-09 16:32:33,"flower-net-march:
My dream-catcher helps me protect my dreams in the evening, but in daylight it is universally reviled (constant march of revulsion)
I have big problems with how Heisig equates the bottom part to ""march"", so I struggle with this. If it had the reading ""protection"" this would be easy: flower-net-protection would better match up with the idea of a dream catcher which may fulfil it's purpose but is universally reviled because of how ugly/smelly/stupid it is."
393,桟,"scaffold",1,2016-06-09 16:46:10,"Float in the sense of a structure built up especially for a fiesta (eg, Puck Fair, Burning Man, Wicker Man). The wooden scaffold shows the construction in progress."
394,銭,"coin",1,2016-06-09 16:48:34,"Coins here are metal tokens specific to the fiesta. Like Disney Dollars, being scattered from the float."
395,浅,"shallow",1,2016-06-17 12:47:33,"water that's shallow enough that your float won't float off.
Don't confuse with ""ford"""
397,歩,"walk",1,2016-06-10 08:54:10,"Footsteps (kanji for stop) just a few inches from each other.
Remember, it's not ""little"" like little steps, but ""few"""
398,渉,"ford",0,2016-06-10 08:54:41,"Water you can easily walk over."
399,頻,"repeatedly",1,2016-06-10 09:13:35,"I had to repeatedly walk this through my head until it would repeatedly walk right out of my head by itself."
400,肯,"agreement",1,2016-06-10 09:20:42,"After seeing how badly we'd fucked up the planet, the robot leaders came to an agreement that they would have to put a #stop# to the #fleshers#. At least we could #agree#, stoically, with their point about the planet as their #footprints# left marks on our #flesh#."
401,企,"undertake",1,2016-06-10 09:26:53,"An undertaker takes a body under an umbrella to stop it decomposing too quickly. I can still see the toes sticking out, though."
402,歴,"curriculum",1,2016-06-10 09:32:22,"Having a curriculum to follow puts a stop to the days of sun in your calendar (ie, end of summer holidays; literally change sun to stop in the kanji for calendar)."
403,武,"warrior",1,2016-06-10 09:37:50,"Think of a warrior as a professional soldier in a ""standing army"". The purpose of having these professionals warriors, each kitted out with their own quiver, and always ready is to forestall (stop in advance) any attack that might come."
404,賦,"levy",1,2016-06-10 09:39:30,"A standing army of warriors isn't free, so here we see the clams that are shelled out (the levy imposed on the populace) to pay for those warriors."
405,正,"correct",1,2016-06-10 09:45:19,"Did you know that the Japanese use this symbol to count to five? Other countries use four vertical strokes followed by the fifth one horizontally for such ""tallies"". Our tally of five looks like 卌 but in Japan it looks like 正.
Since tallying up things in groups of five is such a common thing, it's no wonder that every Japanese knows how to draw this character correctly!"
406,証,"evidence",1,2016-06-10 09:49:56,"In the courts, people make an oath(*) that the evidence they say is correct.
* on a tangent, such an oath marks a ""testimony"", from the way the Romans would hold their testes when making an oath.
Anyway, something that is said that is not correct can be dismissed as evidence, so it needs both ""say"" and ""correct."" Focusing on a negative construction like this might be easier to remember."
407,政,"politics",1,2016-06-10 09:55:18,"Saying that politics is about finding the #correct# #taskmaster# to lead the people has some pretty wry humour embedded in it. First, our politicians are rarely correct, and second, we don't even #want# to have taskmasters telling us what to do. Such is life, I guess."
